trade_id,logged_at,ticker,timeframe,asset_type,trade_source,entry_price_idr,sl_raw_idr,tp1_raw_idr,tp2_raw_idr,position_size_idr,score,regime,confidence,counter_trend_valid,component_trend,component_momentum,component_volume,component_structure,status,closed_at,exit_price_idr,exit_reason,r_multiple,mae_r,mfe_r,bars_to_outcome,net_r_multiple,last_checked_at
NEAR_20260901153908574870,2026-09-01 15:39:08,NEAR,1H,crypto,SYSTEM,35732.249,34465.224653059624,36999.27334694038,38266.29769388076,,5,TRENDING_UP,C — Low conviction,False,0.8682042058242179,-0.6293463681619638,1.0,0.0,CLOSED,2026-09-01 17:03:11,34465.224653059624,LOSS - SL HIT,-1.00,-1.08,0.06,1,,2026-09-01 16:48:11
ENA_20260901153909230527,2026-09-01 15:39:09,ENA,1H,crypto,SYSTEM,2861.406,2726.683908590342,2996.128091409658,3130.8501828193157,,3,TRENDING_UP,D — Very low conviction,False,0.7952957046659137,-0.3962706260409316,1.0,-1.0,CLOSED,2026-09-01 19:03:11,2726.683908590342,LOSS - SL HIT,-1.00,-1.05,0.32,3,,2026-09-01 18:48:11
LTC_20260901153909892824,2026-09-01 15:39:09,LTC,1H,crypto,SYSTEM,882266.8500000001,869084.890481479,895448.8095185212,908630.7690370423,,2,SQUEEZE,D — Very low conviction,False,0.8116088172126439,-0.5766364226663788,1.0,1.0,CLOSED,2026-09-01 19:03:11,869084.890481479,LOSS - SL HIT,-1.00,-1.45,0.10,3,,2026-09-01 18:48:11
NEAR_20260901153932814408,2026-09-01 15:39:32,NEAR,1H,crypto,MANUAL,35714.585999999996,34447.561653059616,36981.610346940375,38248.634693880755,,5,TRENDING_UP,C — Low conviction,False,0.8682042058242179,-0.6293463681619638,1.0,0.0,CLOSED,2026-09-01 17:03:11,34447.561653059616,LOSS - SL HIT,-1.00,-1.06,0.07,1,,2026-09-01 16:48:11
PEPE_20260901160755664054,2026-09-01 16:07:55,PEPE,1H,crypto,SYSTEM,0.061824,0.059981191628370574,0.06366680837162943,0.06550961674325885,,3,RANGING,D — Very low conviction,False,-0.18400454110889183,0.026474009373198965,0.5,1.0,CLOSED,2026-09-02 11:03:09,0.059981191628370574,LOSS - SL HIT,-1.00,-1.12,0.33,18,,2026-09-02 10:48:11
PUMP_20260901160756815229,2026-09-01 16:07:56,PUMP,1H,crypto,SYSTEM,78.86976,75.6787973829383,82.0607226170617,85.2516852341234,,3,NEUTRAL,D — Very low conviction,False,0.35286265780424664,0.0045137807426824375,1.0,1.0,CLOSED,2026-09-01 18:03:12,75.6787973829383,LOSS - SL HIT,-1.00,-1.10,0.00,1,,2026-09-01 17:48:13
SHIB_20260901160757865601,2026-09-01 16:07:57,SHIB,1H,crypto,SYSTEM,0.09167616,0.08958637423302797,0.09376594576697204,0.09585573153394408,,2,TRENDING_UP,D — Very low conviction,False,0.7156766686351971,-0.2347879764056755,1.0,0.0,CLOSED,2026-09-02 11:03:09,0.08958637423302797,LOSS - SL HIT,-1.00,-1.01,0.43,18,,2026-09-02 10:48:11
DOT_20260901180536605062,2026-09-01 18:05:36,DOT,1H,crypto,MANUAL,15417.832,14987.72991316088,15847.934086839121,16278.036173678243,,4,TRENDING_UP,D — Very low conviction,False,0.7800912528081969,-0.20005866177051124,1.0,0.0,CLOSED,2026-09-02 05:03:07,15847.934086839121,WIN - TP1 HIT,1.00,-0.56,1.00,10,,2026-09-02 04:48:08
CRV_20260901200332946121,2026-09-01 20:03:32,CRV,1H,crypto,SYSTEM,6595.013,6271.20717695283,6918.81882304717,7242.6246460943385,,3,TRENDING_UP,D — Very low conviction,False,0.6884483371816855,-0.35794665580295865,1.0,-1.0,CLOSED,2026-09-02 04:03:10,6918.81882304717,WIN - TP1 HIT,1.00,-0.40,1.21,7,,2026-09-02 03:48:09
UNI_20260902030328540161,2026-09-02 03:03:28,UNI,1H,crypto,SYSTEM,106441.78600000001,101671.38378401709,111212.18821598293,115982.59043196586,,7,TRENDING_UP,B — Moderate conviction,False,0.7869604310851136,-0.5795609899999756,1.0,1.0,CLOSED,2026-09-02 05:03:08,111212.18821598293,WIN - TP1 HIT,1.00,0.00,1.30,1,,2026-09-02 04:48:08
BNB_20260902030329484245,2026-09-02 03:03:29,BNB,1H,crypto,SYSTEM,12144876.81,12017658.305575142,12272095.31442486,12399313.818849718,,5,SQUEEZE,D — Very low conviction,False,-0.1884430924777764,-0.06463479205756863,0.5,1.0,CLOSED,2026-09-03 03:03:11,12272095.31442486,WIN - TP1 HIT,1.00,-0.87,1.15,23,,2026-09-03 02:48:12
HEMI_20260902031826430609,2026-09-02 03:18:26,HEMI,1H,crypto,SYSTEM,298.87722,255.249689560987,342.50475043901304,386.13228087802605,,6,TRENDING_UP,B — Moderate conviction,False,0.6497226693983817,-0.4523475516618701,1.0,1.0,CLOSED,2026-09-02 05:03:08,255.249689560987,LOSS - SL HIT,-1.00,-1.89,0.00,1,,2026-09-02 04:48:08
DOT_20260902040331434127,2026-09-02 04:03:31,DOT,1H,crypto,SYSTEM,15745.128,15282.582772478465,16207.673227521536,16670.218455043072,,2,TRENDING_UP,D — Very low conviction,False,0.8174234883118437,-0.441976942786659,1.0,0.0,CLOSED,2026-09-02 07:03:08,15282.582772478465,LOSS - SL HIT,-1.00,-1.28,0.09,2,,2026-09-02 06:48:09
FIL_20260902040332310083,2026-09-02 04:03:32,FIL,1H,crypto,SYSTEM,14232.6737,13546.347815945806,14918.999584054192,15605.325468108384,,2,TRENDING_UP,D — Very low conviction,False,0.7952293315507878,-0.6120131351013816,1.0,0.0,CLOSED,2026-09-02 13:03:09,13546.347815945806,LOSS - SL HIT,-1.00,-1.01,0.22,8,,2026-09-02 12:48:10
UNI_20260902050328941492,2026-09-02 05:03:28,UNI,1H,crypto,SYSTEM,110463.16799999999,105291.97537523079,115634.3606247692,120805.5532495384,,8,TRENDING_UP,A — High conviction,False,0.625,-0.744867425778654,1.0,1.0,CLOSED,2026-09-02 11:03:10,105291.97537523079,LOSS - SL HIT,-1.00,-1.03,0.48,5,,2026-09-02 10:48:11
XRP_20260902060328663982,2026-09-02 06:03:28,XRP,1H,crypto,SYSTEM,23897.452299999997,23407.278502326666,24387.62609767333,24877.79989534666,,6,RANGING,D — Very low conviction,False,-0.45641037095504866,0.21099924765650013,0.5,1.0,CLOSED,2026-09-02 11:03:10,23407.278502326666,LOSS - SL HIT,-1.00,-1.37,0.18,4,,2026-09-02 10:48:11
ATOM_20260902060329663535,2026-09-02 06:03:29,ATOM,1H,crypto,SYSTEM,25858.059999999998,25387.142859334846,26328.97714066515,26799.894281330304,,2,RANGING,D — Very low conviction,False,-0.5173288736225078,0.275263628595471,-1.0,1.0,CLOSED,2026-09-03 08:03:09,26328.97714066515,WIN - TP1 HIT,1.00,-0.97,1.05,25,,2026-09-03 07:48:12
DOGE_20260902060330678984,2026-09-02 06:03:30,DOGE,1H,crypto,SYSTEM,1451.41645,1425.6143771638156,1477.2185228361843,1503.020595672369,,2,RANGING,D — Very low conviction,False,-0.27546015134485013,0.061150821961643044,0.5,1.0,CLOSED,2026-09-02 11:03:10,1425.6143771638156,LOSS - SL HIT,-1.00,-1.18,0.10,4,,2026-09-02 10:48:11
LTC_20260902070328477086,2026-09-02 07:03:28,LTC,1H,crypto,SYSTEM,876220.8,859907.8541128421,892533.745887158,908846.6917743158,,3,SQUEEZE,D — Very low conviction,False,0.36344191612674864,-0.10471507261000905,1.0,1.0,CLOSED,2026-09-02 12:33:09,859907.8541128421,LOSS - SL HIT,-1.00,-1.01,0.00,3,,2026-09-02 12:18:13
AAVE_20260902071828451685,2026-09-02 07:18:28,AAVE,1H,crypto,SYSTEM,2347373.6,2273380.7605619,2421366.4394381,2495359.2788762,,2,TRENDING_UP,D — Very low conviction,False,0.6341521313002556,-0.6446169819709096,-0.5,0.0,CLOSED,2026-09-02 10:03:11,2273380.7605619,LOSS - SL HIT,-1.00,-1.47,0.00,2,,2026-09-02 09:48:10
ARB_20260902090327219773,2026-09-02 09:03:27,ARB,1H,crypto,SYSTEM,2095.686,1982.635544209122,2208.7364557908786,2321.7869115817566,,5,TRENDING_UP,C — Low conviction,False,0.7723769976895398,-0.6989521102684988,1.0,0.0,CLOSED,2026-09-02 11:03:11,1982.635544209122,LOSS - SL HIT,-1.00,-1.36,0.00,1,,2026-09-02 10:48:11
LINK_20260902090328158172,2026-09-02 09:03:28,LINK,1H,crypto,SYSTEM,197441.28,193277.04518943722,201605.51481056277,205769.74962112552,,2,RANGING,D — Very low conviction,False,-0.6788233037078593,0.19871929178756986,-1.0,1.0,CLOSED,2026-09-02 13:33:09,193277.04518943722,LOSS - SL HIT,-1.00,-1.02,0.00,1,,2026-09-02 13:18:09
XAUT_20260902130328399566,2026-09-02 13:03:28,XAUT,1H,crypto,SYSTEM,76965051.18,76195400.6682,77734701.69180001,78504352.2036,,5,SQUEEZE,D — Very low conviction,False,-0.333292158969418,0.021898925301413075,0.5,1.0,CLOSED,2026-09-02 15:03:08,77734701.69180001,WIN - TP1 HIT,1.00,0.00,1.07,1,,2026-09-02 14:48:09
PAXG_20260902130329428108,2026-09-02 13:03:29,PAXG,1H,crypto,SYSTEM,77139120.5,76367729.295,77910511.705,78681902.91,,2,SQUEEZE,D — Very low conviction,False,-0.056482172234376765,-0.08962897501094684,0.0,1.0,CLOSED,2026-09-02 15:03:08,77910511.705,WIN - TP1 HIT,1.00,0.00,1.09,1,,2026-09-02 14:48:09
TRX_20260902130330554025,2026-09-02 13:03:30,TRX,1H,crypto,SYSTEM,5741.451400000001,5684.036886000001,5798.865914000001,5856.280428000001,,2,SQUEEZE,D — Very low conviction,False,-0.32540089282923484,-0.042680427968435596,0.5,1.0,CLOSED,2026-09-03 14:03:08,5798.865914000001,WIN - TP1 HIT,1.00,-0.54,1.09,24,,2026-09-03 13:48:11
ARB_20260902140326195474,2026-09-02 14:03:26,ARB,1H,crypto,SYSTEM,1964.811,1842.4374534158212,2087.1845465841784,2209.558093168357,,3,NEUTRAL,D — Very low conviction,False,0.24158478967876654,0.14300096417280303,1.0,0.0,CLOSED,2026-09-02 16:03:08,2087.1845465841784,WIN - TP1 HIT,1.00,0.00,1.30,1,,2026-09-02 15:48:10
ADA_20260902150329757159,2026-09-02 15:03:29,ADA,1H,crypto,SYSTEM,3465.8558,3382.273082485554,3549.4385175144457,3633.0212350288916,,2,RANGING,D — Very low conviction,False,-0.3211413261761481,0.07990563859208137,-1.0,1.0,CLOSED,2026-09-03 00:03:11,3549.4385175144457,WIN - TP1 HIT,1.00,-0.30,1.12,8,,2026-09-02 23:48:14
PAXG_20260902150330768914,2026-09-02 15:03:30,PAXG,1H,crypto,SYSTEM,77639949.19,76863549.6981,78416348.6819,79192748.17379999,,2,SQUEEZE,D — Very low conviction,False,0.8109105531421521,-0.5192545084493237,-0.5,1.0,CLOSED,2026-09-03 05:03:11,78416348.6819,WIN - TP1 HIT,1.00,-0.50,1.04,13,,2026-09-03 04:48:14
BTC_20260902160328575258,2026-09-02 16:03:28,BTC,1H,crypto,SYSTEM,1367360577.0,1349792720.346895,1384928433.653105,1402496290.3062098,,9,SQUEEZE,B — Moderate conviction,False,-0.2227614849521126,-0.025286248069774763,0.5,1.0,CLOSED,2026-09-03 13:03:09,1384928433.653105,WIN - TP1 HIT,1.00,-0.65,1.18,20,,2026-09-03 12:48:11
